//==============================================================================||
//	Type	Index	Level	Dur	Skill	Luck	Option	Exc	Anc	||
//==============================================================================||
	14	115	0	255	0	0	0	0	0
	14	116	0	255	0	0	0	0	0
	14	117	0	255	0	0	0	0	0
	14	118	0	255	0	0	0	0	0
	14	119	0	255	0	0	0	0	0
	14	120	0	255	0	0	0	0	0
	14	121	0	255	0	0	0	0	0
	14	122	0	255	0	0	0	0	0
	14	123	0	255	0	0	0	0	0
	14	124	0	255	0	0	0	0	0
	14	125	0	255	0	0	0	0	0
	14	126	0	255	0	0	0	0	0
	14	127	0	255	0	0	0	0	0
end


