//--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------//
//     Index      Name	Opt2-1  Value   Opt2-2  Value   Opt3-1  Value   Opt3-2  Value   Opt4-1  Value   Opt4-2  Value   Opt5-1  Value   Opt5-2  Value   Opt6-1  Value   Opt6-2  Value   Opt7-1  Value   Opt7-2  Value   Opt8    Value   Opt9    Value   Full1   Value   Full2   Value   Full3   Value   Full4   Value   Full5   Value    -	-	-	-	-	-     //
//--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------//
	1	"Warrior's"	0	10	-1	-1	19	10	-1	-1	13	20	-1	-1	14	5	-1	-1	10	20	-1	-1	1	10	-1	-1	-1	-1	-1	-1	15	5	17	5	0	25	-1	-1	-1	-1	0	0	0	0	0

	3	"Hyperion's"	2	15	-1	-1	1	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	20	12	30	-1	-1	-1	-1	-1	-1	0	0	0	0	0

	5	"Eplete's"	19	15	-1	-1	9	50	-1	-1	7	5	-1	-1	11	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	30	15	10	17	10	-1	-1	-1	-1	0	0	0	0	0

	7	"Garuda's"	13	30	-1	-1	20	5	-1	-1	2	15	-1	-1	11	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	25	7	15	-1	-1	-1	-1	-1	-1	0	0	0	0	0

	9	"Kantata's"	2	15	-1	-1	3	30	-1	-1	7	10	-1	-1	0	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	25	17	10	18	20	-1	-1	-1	-1	0	0	0	0	0

	11	"Hyon's"	10	25	-1	-1	20	10	-1	-1	19	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	16	20	18	20	-1	-1	0	0	0	0	0

//================================================================================
//Dark Knight or Magic Gladiator
//================================================================================
	13	"Apollo's"	2	10	-1	-1	7	5	-1	-1	19	10	-1	-1	12	30	-1	-1	11	30	-1	-1	13	20	-1	-1	-1	-1	-1	-1	15	10	17	10	2	30	-1	-1	-1	-1	0	0	0	0	0

	15	"Evis's"	19	15	-1	-1	3	20	-1	-1	7	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	5	9	50	14	5	-1	-1	-1	-1	0	0	0	0	0

	17	"Hera's"	0	15	-1	-1	7	10	-1	-1	22	5	-1	-1	2	15	-1	-1	9	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	10	17	10	11	50	12	50	-1	-1	0	0	0	0	0

	19	"Anubis's"	20	10	-1	-1	12	50	-1	-1	7	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	16	20	18	20	-1	-1	0	0	0	0	0
//================================================================================
//Elf
//================================================================================
	21	"Ceto's"	1	10	-1	-1	11	50	-1	-1	10	20	-1	-1	22	5	-1	-1	2	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	50	0	20	-1	-1	-1	-1	-1	-1	0	0	0	0	0

	23	"Gaia's"	19	10	-1	-1	12	25	-1	-1	0	10	-1	-1	20	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	30	17	10	18	10	-1	-1	-1	-1	0	0	0	0	0

	25	"Odin's"	2	15	-1	-1	11	50	-1	-1	9	50	-1	-1	1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	50	21	5	13	50	-1	-1	-1	-1	0	0	0	0	0

	27	"Argo's"	6	20	-1	-1	19	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	50	20	5	-1	-1	-1	-1	-1	-1	0	0	0	0	0

	29	"Gywen's"	1	30	-1	-1	5	20	-1	20	10	20	-1	-1	6	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	16	20	18	20	-1	-1	0	0	0	0	0

//¸Magic Gladiator
	31	"Gaion's"	21	5	-1	-1	20	15	-1	-1	19	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	15	18	30	7	10	0	30	-1	-1	0	0	0	0	0

//Dark Lord
	33	"Agnis's"	20	10	-1	-1	10	40	-1	-1	19	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	16	20	18	20	-1	-1	0	0	0	0	0
//	34	"Broy's"	8	20	-1	-1	19	20	-1	-1	2	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	15	17	15	21	5	4	30	-1	-1	0	0	0	0	0

end
